,sentiment_level,sentiment_slope,sentiment_momentum,sentiment_vol_interaction,sentiment_leverage_interaction,sentiment_direction_alignment,volatility_exposure,leverage_proxy,holding_duration_min,rolling_win_rate_account,pnl_pct_prev,pnl_pct_prev3,rolling_pnl_mean,rolling_pnl_std,is_profitable,closed_pnl,notional
sentiment_level,1.0,-0.6290906925643267,-0.08945089465519736,0.03437942674207673,0.14281145668024053,-0.08526960943376657,0.018804746010605954,0.03265265438819336,-0.00411177375499044,0.06976551527034176,0.12436652088399744,0.12417031639686368,0.1550572043026514,0.13171097152056607,0.04596893629712691,0.011352649655870926,-0.02313646046283183
sentiment_slope,-0.6290906925643267,1.0,-0.24608252513154155,-0.02442423730143411,-0.07842139648355892,0.06662373504348383,5.681506462925324e-05,-0.005478532563766399,-0.010867967839664086,0.014314402498431588,-0.08048102390943265,-0.08007841075597973,-0.09873268755637286,-0.09236328708810594,0.010376224651183564,0.0018586377713816437,-0.013649006148066868
sentiment_momentum,-0.08945089465519736,-0.24608252513154155,1.0,0.012913860382557256,-0.011150799333827979,0.0094732806817056,0.0002593351299208516,-0.00386965558108975,-0.0010046243940801571,-0.05658151049092054,-0.01016852317551309,-0.010401852309713293,-0.01392417727592698,-0.010216625398010893,-0.03576543310182173,-0.005396915197604167,-0.013198128869566197
sentiment_vol_interaction,0.03437942674207673,-0.02442423730143411,0.012913860382557256,1.0,0.3341721781400848,0.01848606839108887,0.900635084725191,0.4483259058019405,0.010000883476726296,-0.0019493832884719935,-0.0018393142751726328,0.006044772833411557,0.007932442053121437,0.027387155480334158,-0.027016226297585128,-0.0005179675695065827,0.0019107727007015047
sentiment_leverage_interaction,0.14281145668024053,-0.07842139648355892,-0.011150799333827979,0.3341721781400848,1.0,0.0273178151523951,0.2818820339773405,0.5115110773883363,0.0006394904144871701,-0.008351482176259088,-0.005106976724040256,-0.0034727870628034393,-0.0021243028995096276,0.005330628394283927,-0.03010899834896138,-0.0019882487994683216,0.01451512713954434
sentiment_direction_alignment,-0.08526960943376657,0.06662373504348383,0.0094732806817056,0.01848606839108887,0.0273178151523951,1.0,0.015051481318822304,0.02231767470036888,-0.0010155008514726104,-0.07219493870918896,-0.13183318561179547,-0.11262044777683534,-0.12374638398457996,-0.0386979684036523,-0.1335136559313677,-0.023645594140645404,0.0069342288391855775
volatility_exposure,0.018804746010605954,5.681506462925324e-05,0.0002593351299208516,0.900635084725191,0.2818820339773405,0.015051481318822304,1.0,0.5683267345512977,0.014749169587576853,-0.002923464106613145,-0.00430564231176231,0.002278852879983607,0.0030133121503889792,0.02270990018517029,-0.03384173503368308,-0.0008597764469772209,0.003723319161459229
leverage_proxy,0.03265265438819336,-0.005478532563766399,-0.00386965558108975,0.4483259058019405,0.5115110773883363,0.02231767470036888,0.5683267345512977,1.0,0.003833937224077194,-0.01027432316005443,-0.01126448474539268,-0.008690694862939746,-0.010426876764906251,-0.0008218542998874611,-0.05376320277900823,-0.002204326584472585,0.0306607859980066
holding_duration_min,-0.00411177375499044,-0.010867967839664086,-0.0010046243940801571,0.010000883476726296,0.0006394904144871701,-0.0010155008514726104,0.014749169587576853,0.003833937224077194,1.0,-0.005048086660030881,0.011397658574336155,0.005822113466381784,0.004680037712266613,0.029151606824702383,-0.0027087195568739164,0.001489372791367751,-0.0021942812209938124
rolling_win_rate_account,0.06976551527034176,0.014314402498431588,-0.05658151049092054,-0.0019493832884719935,-0.008351482176259088,-0.07219493870918896,-0.002923464106613145,-0.01027432316005443,-0.005048086660030881,1.0,0.20064216657055614,0.21031531984027374,0.2868756071472053,0.037536303397752956,0.5442074851744265,0.05063397537335932,-0.0012725415101034162
pnl_pct_prev,0.12436652088399744,-0.08048102390943265,-0.01016852317551309,-0.0018393142751726328,-0.005106976724040256,-0.13183318561179547,-0.00430564231176231,-0.01126448474539268,0.011397658574336155,0.20064216657055614,1.0,0.7224397271994579,0.7415871016209175,0.263302155128811,0.25723803570322096,0.1737167724833217,-0.016501474324215625
pnl_pct_prev3,0.12417031639686368,-0.08007841075597973,-0.010401852309713293,0.006044772833411557,-0.0034727870628034393,-0.11262044777683534,0.002278852879983607,-0.008690694862939746,0.005822113466381784,0.21031531984027374,0.7224397271994579,1.0,0.7777671119532155,0.26684210367270866,0.21540882769760666,0.15691133560985468,-0.016624790441206627
rolling_pnl_mean,0.1550572043026514,-0.09873268755637286,-0.01392417727592698,0.007932442053121437,-0.0021243028995096276,-0.12374638398457996,0.0030133121503889792,-0.010426876764906251,0.004680037712266613,0.2868756071472053,0.7415871016209175,0.7777671119532155,1.0,0.3390855224111825,0.21146221917724492,0.15910469597599317,-0.021080479714641904
rolling_pnl_std,0.13171097152056607,-0.09236328708810594,-0.010216625398010893,0.027387155480334158,0.005330628394283927,-0.0386979684036523,0.02270990018517029,-0.0008218542998874611,0.029151606824702383,0.037536303397752956,0.263302155128811,0.26684210367270866,0.3390855224111825,1.0,0.028326520655280983,0.0497109914397047,-0.030027288558944022
is_profitable,0.04596893629712691,0.010376224651183564,-0.03576543310182173,-0.027016226297585128,-0.03010899834896138,-0.1335136559313677,-0.03384173503368308,-0.05376320277900823,-0.0027087195568739164,0.5442074851744265,0.25723803570322096,0.21540882769760666,0.21146221917724492,0.028326520655280983,1.0,0.09432245267996361,0.0032052170168593657
