account,regime_label,trades,win_rate,avg_pnl,median_roi,avg_leverage,avg_size,volatility_exposure
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,462,0.025974025974025976,-708.8872295584415,0.0,0.055292773570964696,14810.891818181817,0.0010202157991061151
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,3356,0.40554231227651966,574.4146960771752,0.0,0.06002081597795052,16345.241939809297,0.0020499081217747904
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,320,0.53125,64.398269040625,0.0072742648197991035,0.1942327684615216,2492.74990625,0.05602174871613632
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,6960,0.43864942528735634,3.919234830603448,0.0,0.4707783598620042,1614.6275416666665,0.017992242884547364
0x271b280974205ca63b716753467d5a371de622ab,Greed,5,0.8,358.63204299999995,0.0026446794330347505,0.8851258642214477,31941.660000000003,0.08469725855021208
0x271b280974205ca63b716753467d5a371de622ab,Neutral,3804,0.30126182965299686,-18.987736996056785,0.0,0.0631903116948407,8862.705604626708,0.0012173340834534222
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,6472,0.4437577255871446,18.831950867737948,0.0,0.39594306093064896,483.5901143386898,0.03512865060570588
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,6839,0.4336891358385729,1.5476573384997807,0.0,0.29988127331086234,530.3738675244919,0.03468556486513113
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,763,0.4744429882044561,68.43476991874181,0.0,0.5396762222650102,2941.8256880733943,0.04994685842682373
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,2476,0.5339256865912763,47.02838269224556,0.0028738217298399094,0.3510233387520702,3199.6232633279483,0.03674619104973114
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,27,0.3333333333333333,-206.07467185185183,0.0,0.433169286116193,3048.5944444444444,0.016025574363958447
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,161,0.453416149068323,229.77249075155282,0.0,0.3510920817407167,2792.455900621118,0.012978718121564856
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,627,0.4609250398724083,-99.89306994736843,0.0,0.3503388645755764,1400.3262360446572,0.03299766585713212
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,144,0.5277777777777778,242.94015181944445,0.031951739063641627,0.4828976860615467,4554.800138888889,0.10017206870124273
